"Entrez_ID","HGNC Symbol","NEDD9siRNA_ALDO_1","NEDD9siRNA_ALDO_2","NEDD9siRNA_ALDO_3","NEDD9siRNA_Control_1","NEDD9siRNA_Control_2","NEDD9siRNA_Control_3","Control_1","Control_2","Control_3","Control_4","Control_5","Control_6","Aldo_1","Aldo_2","Aldo_3","Aldo_4","Aldo_5","Aldo_6"
100287102,"",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
653635,NA,94,74,123,40,81,69,77,49,59,118,57,75,74,69,63,95,69,50
102466751,"MIR6859-1",3,3,7,3,8,2,3,5,3,7,1,4,10,5,6,8,5,7
100302278,"MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645520,"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79501,"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
729737,NA,6,4,2,1,0,1,2,3,1,1,2,1,3,4,2,0,0,2
102725121,"",0,1,3,2,5,2,0,0,0,2,1,1,0,0,0,0,0,2
102723897,NA,65,51,93,40,50,44,46,49,56,86,41,79,63,56,59,60,63,61
102465909,"MIR6859-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729759,"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100132287,NA,0,0,1,1,0,1,1,1,0,2,0,1,1,1,0,1,0,0
105378947,NA,0,0,2,1,0,0,0,1,0,1,0,2,0,1,1,1,0,1
101928626,"",0,0,0,1,1,0,0,0,1,3,0,1,0,2,0,1,0,0
102465432,NA,1051,719,1274,299,1118,407,11,15,20,2611,900,2160,8,8,11,2232,1279,1644
81399,"OR4F3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81399,"OR4F29",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81399,"OR4F16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100133331,NA,22,25,30,18,25,23,10,10,13,22,15,13,26,30,12,23,18,18
100288069,NA,12,18,14,11,13,10,13,12,8,15,4,4,16,16,7,19,7,13
400728,"FAM87B",4,3,5,5,1,5,1,4,2,3,5,1,2,3,0,6,5,3
79854,NA,24,29,46,10,31,13,3,6,3,3,8,7,18,18,12,26,15,19
643837,"LINC01128",203,271,335,187,255,225,134,174,131,235,112,139,165,156,132,158,118,144
284593,"FAM41C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100130417,"LINC02593",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
148398,"SAMD11",0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,2,0,3
26155,"NOC2L",1816,2026,2639,1774,2132,1878,1841,2164,1559,2327,1263,1580,2187,2363,1857,1692,1119,1608
