"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"A1BG",35,17,40,26,39,27
"A1BG-AS1",42,13,43,24,30,21
"A1CF",2,4,6,1,5,1
"A2M",613,545,596,520,526,472
"A2M-AS1",48,36,57,42,35,52
"A2ML1",4,2,3,4,5,4
"A3GALT2",1,0,3,0,2,1
"A4GALT",2757,2904,2173,2134,2475,2208
"A4GNT",4,12,11,8,8,4
"AAAS",6878,5073,6003,5466,5613,5133
"AACS",9350,7296,7670,7286,7393,7576
"AACSP1",8,2,8,3,5,4
"AADAC",51,31,53,44,45,40
"AADACL2",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",1,4,3,6,4,0
"AADAT",1054,753,896,826,890,751
"AAGAB",18630,14428,14714,13764,13453,14093
"AAK1",11471,8666,10392,9328,8815,9077
"AAMDC",1490,1078,1103,1045,1033,1133
"AAMP",18815,14344,14496,13923,14313,14325
"AANAT",15,9,16,17,12,5
"AAR2",12831,10023,10259,9393,9659,9949
"AARD",3,1,4,1,0,3
"AARS1",52867,42311,46137,43532,44416,42208
"AARS2",8084,6175,7422,6657,7236,6524
"AARSD1",9,4,4,9,4,6
"AASDH",2084,1606,1954,1710,1600,1661
"AASDHPPT",20528,15651,16410,15132,14785,16040
"AASS",5308,4202,5338,4654,4789,4393
"AATBC",28,17,28,27,29,27
"AATF",0,2,0,1,0,0
"AATK",57,56,55,52,75,46
"ABAT",242,195,231,236,227,206
"ABCA1",4752,4025,4530,3758,3838,4191
"ABCA10",199,128,181,139,140,133
"ABCA11P",1062,779,870,811,790,751
"ABCA12",457,451,453,408,444,434
"ABCA13",13,10,7,21,14,13
"ABCA17P",51,23,39,45,37,44
"ABCA2",2759,2499,2878,2569,2789,2427
"ABCA3",4857,4098,4353,4017,4382,4054
"ABCA4",119,80,117,94,111,99
"ABCA5",3500,2716,3403,3014,2954,2805
"ABCA6",20,24,28,18,32,17
"ABCA7",3393,2573,3927,3023,3473,2661
"ABCA8",16,7,8,10,16,4
"ABCA9",30,17,37,31,24,12
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",3331,2766,2940,2794,2757,2840
"ABCB10",10711,8741,8893,8223,7900,8387
"ABCB11",3,7,0,4,5,4
"ABCB4",27,27,35,16,21,30
"ABCB5",96,82,66,55,84,71
"ABCB6",4000,2984,3744,3260,3453,3041
"ABCB7",6639,5215,5363,5119,5199,5196
"ABCB8",3373,2786,3338,2897,3152,2817
"ABCB9",2519,1849,2078,1798,2064,1789
"ABCC1",601,383,512,468,461,721
"ABCC10",3523,2886,3640,3145,3406,2936
"ABCC11",11,17,12,11,11,10
"ABCC12",2,4,2,4,1,2
"ABCC2",618,390,547,478,469,462
"ABCC3",4632,3986,4896,4335,4544,3816
"ABCC4",14107,14242,11858,11542,12084,11961
"ABCC5",19968,15847,20998,17629,18628,16085
"ABCC5-AS1",1,1,4,7,1,3
"ABCC6",14,8,11,5,8,10
"ABCC6P1",23,13,17,21,21,10
"ABCC6P2",0,0,0,0,0,1
"ABCC8",15,18,26,21,21,8
"ABCC9",80,60,60,67,63,60
"ABCD1",4518,3358,3911,3517,3808,3487
"ABCD2",155,170,114,107,143,127
"ABCD3",21475,17323,18036,16705,16289,17193
"ABCD4",7342,5486,6839,6068,6299,5361
"ABCE1",42605,34077,34252,31935,30702,32894
"ABCF1",6,6,2,4,171,6
