"Entrez_ID","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro","HGNC Symbol"
100287102,0,0,0,0,0,0,""
653635,160,146,140,103,146,130,NA
102466751,21,17,28,18,25,16,"MIR6859-1"
100302278,0,0,0,0,0,0,"MIR1302-2"
645520,0,0,0,0,0,0,"FAM138A"
79501,0,0,0,0,0,0,"OR4F5"
729737,5,0,6,4,3,4,NA
102725121,1,1,2,2,3,0,""
102723897,217,175,215,174,264,354,NA
102465909,1,0,0,0,0,0,"MIR6859-2"
729759,0,0,0,0,0,0,"OR4F29"
100132287,0,0,0,1,1,0,NA
105378947,1,3,1,1,1,1,NA
101928626,10,6,6,12,2,8,""
102465432,57,26,39,36,26,37,NA
81399,0,0,0,0,0,0,"OR4F3"
81399,0,0,0,0,0,0,"OR4F29"
81399,0,0,0,0,0,0,"OR4F16"
100133331,123,80,137,115,120,94,NA
100288069,17,14,11,8,21,18,NA
400728,8,3,9,4,8,10,"FAM87B"
79854,105,60,79,54,79,65,NA
643837,2186,1788,1984,1727,1782,1805,"LINC01128"
284593,0,0,0,1,1,1,"FAM41C"
100130417,28,14,36,25,30,19,"LINC02593"
148398,294,140,180,176,199,161,"SAMD11"
26155,15030,11458,12637,11616,12269,11596,"NOC2L"
339451,3061,2137,3186,2540,2953,2112,"KLHL17"
84069,618,512,613,495,606,462,"PLEKHN1"
84808,248,208,266,218,262,167,"PERM1"
57801,3099,2070,2201,2284,1883,1728,"HES4"
9636,82134,59365,61356,58096,62546,65805,"ISG15"
375790,92170,72783,88810,80739,86166,75748,"AGRN"
105369174,385,251,467,378,397,292,NA
105378948,153,78,137,122,139,87,NA
401934,1,0,6,4,0,3,"RNF223"
54991,3060,2192,2670,2277,2617,2314,"C1orf159"
254099,0,0,0,0,0,0,"LINC01342"
406984,1,0,0,0,1,0,"MIR200B"
406983,0,0,0,2,0,0,"MIR200A"
554210,3,4,5,1,4,3,"MIR429"
254173,3,1,1,0,4,5,"TTLL10"
8784,84,29,64,44,62,39,"TNFRSF18"
7293,11,9,11,11,6,3,"TNFRSF4"
51150,26577,19782,20839,19644,20443,19976,"SDF4"
126792,4525,3222,3224,3022,3074,3068,"B3GALT6"
388581,92,51,78,65,69,53,"C1QTNF12"
118424,11088,7807,8350,7860,8176,8222,"UBE2J2"
6339,1171,791,1409,1057,1299,904,"SCNN1D"
116983,8223,6076,8381,6879,7477,5837,"ACAP3"
102465434,0,0,0,0,0,0,"MIR6726"
126789,3249,2261,2516,2341,2384,2288,"PUSL1"
54973,11808,8830,10463,9210,9850,8869,"INTS11"
102465435,4,4,9,4,4,0,"MIR6727"
80772,5344,4097,4027,3744,4042,3966,"CPTP"
83756,95,77,88,60,72,67,"TAS1R3"
1855,13304,10099,11020,9935,10708,9999,"DVL1"
102466740,0,0,0,0,0,0,"MIR6808"
54587,614,486,706,531,643,437,"MXRA8"
54998,13905,9717,9818,9254,9834,9843,"AURKAIP1"
81669,19950,14398,23040,18690,20196,14620,"CCNL2"
148413,3399,2482,2689,2500,2578,2447,"MRPL20-AS1"
55052,9037,6387,6844,6239,6467,6509,"MRPL20"
441869,14,13,12,15,13,7,"ANKRD65"
643965,0,2,1,0,0,1,"TMEM88B"
102724312,4,2,1,1,1,0,NA
64856,33,15,23,16,31,18,"VWA1"
219293,18,9,16,9,8,8,"ATAD3C"
83858,6780,4782,5858,5522,5662,4709,"ATAD3B"
55210,9062,6972,7189,6841,7343,7040,"ATAD3A"
339453,216,148,157,130,151,118,"TMEM240"
29101,12261,9123,9090,8625,8966,9032,"SSU72"
643988,2615,1970,2070,1920,2029,1947,"FNDC10"
142678,5033,3611,4571,3833,4227,3471,"MIB2"
8510,7,9,9,8,7,12,"MMP23B"
984,9817,7671,8705,8013,8182,7701,"CDK11B"
728661,9269,7427,8339,7863,8190,7685,"SLC35E2B"
8511,1,0,0,0,0,0,NA
728642,4369,3123,3984,3616,3611,3163,"CDK11A"
9906,1174,885,1167,1040,1128,882,NA
65220,11565,8887,9536,8812,9249,8810,"NADK"
2782,105815,83671,84907,79688,79317,81155,"GNB1"
105378949,49,33,43,36,40,42,"GNB1-DT"
163688,29,25,61,47,43,16,"CALML6"
339456,138,72,97,68,89,74,"TMEM52"
85452,127,93,116,91,89,100,"CFAP74"
2563,186,128,137,125,119,114,"GABRD"
5590,4582,3641,3895,3538,3746,3515,"PRKCZ"
100506504,226,170,218,230,221,163,"PRKCZ-AS1"
199990,5692,4075,4473,4034,4651,4128,"FAAP20"
105378592,9,9,4,14,15,8,NA
6497,18575,14921,16548,14588,14908,15090,"SKI"
105378594,3,2,5,4,4,2,NA
79906,1049,754,958,914,1062,793,"MORN1"
100129534,224,203,239,232,258,216,""
11079,25639,19202,20584,18861,19306,18772,"RER1"
5192,2782,1985,2059,2012,2136,1975,"PEX10"
9651,0,1,0,1,0,1,"PLCH2"
55229,158,124,14,7,136,24,"PANK4"
388585,0,0,0,0,0,0,"HES5"
115110,0,0,1,0,1,2,NA
8764,62,8,6,5,9,8,"TNFRSF14"
100996583,0,0,0,0,0,0,NA
127281,5,8,8,61,10,6,"PRXL2B"
79258,0,0,0,0,0,0,"MMEL1"
100287898,0,0,1,3,1,1,"TTC34"
