"Symbol","Aldo1","Aldo2","Aldo3","Spironolactone1","Spironolactone2","Spironolactone3","Control1","Control2","Control3"
"A1BG",5.09,5.09,5.09,5.09,5.08,5.09,5.09,5.09,5.09
"A1BG-AS1",4.91,4.9,4.9,4.9,4.9,4.84,4.9,4.97,4.9
"A1CF",3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
"A2M",7.72,7.81,7.72,7.62,7.48,7.19,7.69,7.65,7.76
"A2M-AS1",5,4.89,5.38,4.83,5.02,4.81,4.87,4.96,5.11
"A2ML1",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"A2ML1-AS1",4.97,4.97,5.02,5.07,4.81,4.9,4.97,4.97,4.97
"A2ML1-AS2",5.58,5.65,5.65,5.65,5.76,5.81,5.53,5.71,5.42
"A2MP1",3.755,3.825,3.805,3.825,3.825,3.825,3.835,3.87,3.79
"A4GALT",5.77,5.77,5.78,5.77,5.76,5.77,5.74,5.77,5.77
"A4GNT",3.38,3.42,3.41,3.5,3.13,3.41,3.41,3.41,3.47
"AA06",3.94,4.34,4.13,4.08,4.05,4.15,4.13,4.15,4.5
"AAAS",8.43,8.56,8.39,8.43,8.35,8.48,8.43,8.43,8.43
"AACS",8.32,8.45,8.45,8.2,8.2,8.19,8.32,8.32,8.32
"AACSP1",3.94,3.94,3.94,3.94,3.94,3.94,3.92,3.97,3.94
"AADAC",3.72,3.95,3.83,3.95,4,4.06,3.95,3.95,3.95
"AADACL2",4.2,4.24,4.31,4.31,4.31,4.48,4.69,4.31,4.31
"AADACL3",3.24,3.24,3.31,3.24,3.3,3.24,3.17,3.24,3.24
"AADACL4",3.72,3.65,3.56,3.59,3.56,3.55,3.56,3.24,3.32
"AADAT",7.94,7.92,7.94,7.96,7.94,7.94,7.94,7.94,7.94
"AAED1",7.95,8.01,7.95,7.95,7.95,7.95,7.95,7.95,7.99
"AAGAB",7.58,7.58,7.58,7.61,7.58,7.58,7.58,7.58,7.56
"AAK1",9.86,9.82,9.92,9.92,9.92,9.92,9.99,9.93,9.92
"AAMDC",5.45,5.45,5.49,5.45,5.45,5.45,5.45,5.45,5.45
"AAMP",6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.58,6.63
"AANAT",4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.39,4.34
"AAR2",6.18,6.18,6.18,6.24,6.19,6.18,6.18,6.21,6.18
"AARD",5.15,5.15,5.11,5.15,5.15,5.15,5.15,5.15,5.15
"AARS",13.04,13.15,13.17,13.15,13.12,13.15,13.23,13.2,13.06
"AARS2",5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
"AASDH",7.58,7.65,7.63,7.58,7.5,7.58,7.58,7.58,7.49
"AASDHPPT",9.31,9.39,9.31,9.31,9.05,9.32,9.31,9.3,9.31
"AASS",8.55,8.69,8.69,8.34,8.45,8.39,8.53,8.53,8.53
"AATF",11.29,11.29,11.34,11.41,11.29,11.29,11.12,11.29,11.26
"AATK",5.06,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
"AATK-AS1",4.83,4.56,4.83,4.83,4.83,4.9,4.83,4.83,4.83
"ABAT",5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37
"ABCA1",8.65,8.61,8.72,8.47,8.07,8.21,8.53,8.47,8.46
"ABCA10",5.5,5.41,5.53,5.37,5.41,5.36,5.41,5.41,5.34
"ABCA12",3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
"ABCA13",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"ABCA17P",3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
"ABCA2",7.43,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44
"ABCA3",5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
"ABCA4",4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
"ABCA5",7.62,7.62,7.69,7.62,7.53,7.62,7.64,7.62,7.62
"ABCA6",11.61,11.56,11.67,10.38,10.65,10.62,11.09,11.02,10.62
"ABCA7",5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
"ABCA8",11.99,11.98,12.01,10.66,11.1,10.89,11.3,11.3,10.91
"ABCA9",10.41,10.38,10.45,9.51,9.7,9.73,10.07,10,9.68
"ABCA9-AS1",5.74,5.63,6.09,5.71,5.46,5.67,5.85,5.97,5.71
"ABCB1",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"ABCB10",7.18,7.29,7.18,7.15,7.08,7.18,7.22,7.18,7.18
"ABCB11",3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
"ABCB4",4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
"ABCB5",3.9,3.9,3.9,3.9,3.9,3.95,3.9,3.9,3.9
"ABCB6",6.74,6.75,6.74,6.74,6.74,6.74,6.74,6.74,6.69
"ABCB7",8.61,8.61,8.61,8.65,8.61,8.61,8.61,8.61,8.6
"ABCB8",6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06
"ABCB9",5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
"ABCC1",9.3,9.64,9.63,9.72,9.8,9.77,9.69,9.64,9.51
"ABCC10",6.58,6.58,6.58,6.63,6.58,6.58,6.58,6.58,6.58
"ABCC11",4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
"ABCC12",4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
"ABCC13",3.77,3.77,3.77,3.77,3.77,3.77,3.76,3.8,3.77
"ABCC2",4.44,4.44,4.46,4.44,4.44,4.44,4.44,4.44,4.44
"ABCC3",6.76,6.8,6.77,6.68,6.67,6.68,6.67,6.68,6.68
"ABCC4",8.34,8.37,8.37,8.37,8.37,8.37,8.38,8.37,8.37
"ABCC5",7.92,7.87,7.87,7.87,7.79,7.87,7.93,7.79,7.87
"ABCC5-AS1",4.53,4.02,4.26,3.93,4.08,4.38,4.13,3.61,3.8
"ABCC6",4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.74
"ABCC6P1",4.35,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
"ABCC6P2",4.55,4.35,4.44,4.61,4.47,4.46,4.39,4.18,4.5
"ABCC8",4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92
"ABCC9",9.05,9.05,9.07,9.05,9.14,9.05,9.05,9.05,8.79
"ABCD1",6.95,6.92,6.95,7.19,6.88,6.95,6.95,6.95,6.95
"ABCD2",5.4,5.05,5.1,5.04,5.02,4.96,5.04,5.04,5.04
"ABCD3",9.12,9.18,9.19,9.18,9.18,9.18,9.18,9.18,9.18
"ABCD4",6.62,6.6,6.64,6.62,6.62,6.62,6.62,6.62,6.62
"ABCE1",11.37,11.37,11.43,11.37,11.37,11.37,11.36,11.37,11.37
