"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"A1BG",235,152,168,338,235,299,124,177,288,428,532,245
"NAT2",3,2,4,2,3,0,1,3,17,23,14,18
"ADA",636,655,502,686,505,682,437,521,865,1319,1097,1019
"CDH2",0,1,0,0,0,0,0,0,29,31,22,20
"AKT3",0,0,0,0,0,0,0,0,5,4,1,1
"ZBTB11-AS1",393,394,302,393,272,373,282,385,213,280,167,194
"MED6",2953,2634,2591,3304,1828,2641,2429,2288,1513,2130,1669,1557
"NR2E3",45,19,26,30,18,33,28,19,76,95,104,94
"NAALAD2",10,9,15,10,7,7,9,14,151,179,166,195
"DUXB",5,4,7,3,5,3,8,8,4,7,3,6
"DDT",0,0,0,14,0,1,1,5,12,8,9,10
"DDTL",0,0,0,0,0,0,1,1,2,0,0,0
"TLX1NB",99,89,98,161,92,90,94,100,225,345,273,221
"NAALADL1",5,4,2,3,5,1,1,3,3,1,3,1
"CDKN2B-AS1",1176,1028,1128,1531,633,957,927,729,97,103,121,90
"SIGLEC14",0,0,1,1,3,0,0,1,1,2,3,5
"NINJ2-AS1",330,299,385,380,222,287,370,365,216,241,246,201
"ACOT8",1200,866,916,1506,843,967,786,994,1355,1798,1527,1267
"ABI1",4283,3694,3436,4640,2084,3064,3665,3679,3515,4609,3200,3364
"GNPDA1",4216,3944,3612,4641,2515,3601,3633,3700,2471,3175,2458,2385
"ZBTB33",1892,1934,2043,2043,853,1424,1555,1669,1667,1888,1347,1642
"GTF2IP4",483,449,623,459,175,585,428,467,229,374,210,214
"CDH3",11175,9206,7974,11617,5634,7627,8339,10260,11782,16367,11783,10759
"TANK",1428,1464,1349,1748,752,1220,1275,1191,1469,1847,1423,1438
"POM121C",5774,5188,3670,5493,2919,4033,3708,5210,2062,2571,2072,1807
"ZSCAN30",689,529,611,779,252,449,641,589,655,876,709,644
"MCTS2",444,437,383,501,215,342,349,408,268,357,263,280
"SRA1",3316,2684,2412,3813,2624,3106,2394,2647,1473,2048,1609,1379
"SNORD121A",1,0,1,0,0,0,1,3,0,4,4,6
"UCKL1-AS1",77,71,71,94,61,94,69,92,460,566,513,469
"TMEM170B",296,275,277,296,153,196,191,186,258,331,253,279
"SNORA84",4,1,1,0,2,0,1,3,2,0,0,0
"SNORA38B",5,4,3,4,3,3,2,6,8,8,5,6
"SNORA70B",1,0,0,0,1,0,1,0,0,1,0,1
"SNORA11B",2,2,2,0,0,0,1,0,0,0,0,0
"HOTAIR",689,478,759,864,293,435,609,694,140,128,179,118
"ZGLP1",91,57,81,114,71,85,49,71,105,127,117,94
"FAM86JP",298,269,279,349,202,288,238,270,122,135,105,92
"FMR1-AS1",8,6,8,10,2,1,6,5,11,7,6,13
"MIR298",1,1,4,1,2,0,1,0,0,0,0,0
"MIR744",0,2,1,1,3,0,0,1,0,0,0,0
"MIR374B",0,0,0,0,0,0,0,1,1,0,0,0
"MIR940",3,4,6,8,3,4,2,3,6,9,13,3
"MIR941-1",0,1,1,0,0,0,0,0,0,0,0,0
"MIR942",0,6,1,1,0,0,6,5,12,11,8,8
"MIR943",1,1,0,2,0,2,0,0,3,2,6,3
"MIR874",0,0,0,0,1,0,0,1,0,0,0,0
"MIR760",0,0,2,1,0,2,0,0,0,0,0,0
"MIR933",1,0,0,0,0,0,1,0,1,0,0,0
"MIR365A",1,3,0,4,3,0,1,3,1,0,0,1
"MIR365B",0,0,0,0,1,2,0,0,3,1,0,0
"EGOT",26,18,8,26,3,12,6,10,18,18,12,8
"GHRLOS",88,91,78,87,40,97,80,75,95,133,107,135
"MINAR2",43,34,19,43,12,30,22,25,0,1,0,1
"SLCO4A1-AS1",23,19,8,30,11,10,13,29,25,19,28,15
"C8orf88",1,2,0,0,0,2,0,2,0,0,0,0
"ARHGAP44-AS1",0,0,0,0,0,0,0,1,3,0,1,1
"WWTR1-AS1",38,47,45,56,39,47,40,46,6,8,5,9
"FAM229A",4,12,14,28,15,30,2,4,9,16,29,6
"ST8SIA6-AS1",16,13,5,8,2,3,12,11,609,834,622,601
"UBE2Q2P13",0,0,1,2,0,0,0,0,0,0,3,0
"STAU2-AS1",4,1,3,1,2,3,1,2,10,14,11,9
"TMPO-AS1",804,809,943,894,526,870,839,957,350,378,385,329
"LINC02324",3,1,3,4,1,2,7,0,0,2,0,1
"LINC02731",16,9,7,14,8,18,5,11,26,23,22,23
"TRAPPC3L",3,0,1,3,1,1,0,0,0,0,0,0
"FAM225B",3,2,0,1,0,1,0,4,9,12,9,9
"LINC00892",0,1,2,0,1,1,4,2,1,5,0,5
"ASTN2-AS1",0,2,0,1,0,5,2,1,1,3,3,3
"KIAA1671-AS1",29,32,12,15,10,22,15,30,174,264,151,172
"CTAGE4",28,25,27,39,12,21,16,15,60,81,74,75
"RANBP3-DT",22,16,19,21,8,14,6,10,9,8,14,10
"TEKTIP1",304,194,239,356,207,279,135,196,321,309,348,215
"ACVR2B-AS1",144,106,158,118,57,115,131,133,47,45,46,38
"HPN-AS1",4,5,7,15,6,7,2,5,1,0,0,1
