"Entrez_ID","HGNC Symbol","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
100287102,"",0,0,0,0,0,0,0,0,0,0,1,0
653635,NA,115,78,106,162,142,154,35,70,83,154,85,68
102466751,"MIR6859-1",20,6,10,15,16,10,1,8,24,30,31,38
100302278,"MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0
645520,"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0
79501,"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0
729737,NA,1499,1138,1033,1845,814,1164,850,1058,834,806,1029,693
102725121,"",2,1,0,3,0,2,1,0,9,18,28,31
102723897,NA,283,186,257,278,157,193,141,167,225,291,324,258
102465909,"MIR6859-2",0,0,0,0,0,0,1,0,1,1,0,0
729759,"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0
100132287,NA,8,5,13,12,10,9,2,7,5,2,25,3
105378947,NA,4,2,1,27,0,0,3,2,4,3,1,2
101928626,"",7,2,10,4,6,7,9,2,15,21,16,14
102465432,NA,37,30,26,29,30,43,28,14,23,49,32,30
81399,"OR4F3",0,0,0,0,0,0,0,0,0,0,0,0
81399,"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0
81399,"OR4F16",0,0,0,0,0,0,0,0,0,0,0,0
100133331,NA,161,161,125,136,72,143,122,154,310,329,303,327
100288069,NA,20,28,9,26,4,10,23,13,24,31,38,33
400728,"FAM87B",17,24,18,25,7,17,17,12,8,12,6,15
79854,NA,37,28,23,43,28,27,23,20,17,20,27,13
643837,"LINC01128",834,794,728,999,473,646,775,868,952,1073,886,838
284593,"FAM41C",1,0,1,0,0,0,0,0,0,3,3,2
100130417,"LINC02593",1230,1015,1171,1360,1017,1246,747,1068,787,928,1061,668
148398,"SAMD11",1063,980,890,1616,961,1539,465,792,2288,2497,2918,1533
26155,"NOC2L",12704,12169,9370,14207,9378,12725,8113,10774,15123,18913,15055,12707
339451,"KLHL17",1072,834,838,1428,695,1198,504,705,2055,2236,2888,1479
84069,"PLEKHN1",1183,1022,912,1602,845,1374,563,871,1587,1791,1960,1209
84808,"PERM1",664,437,374,669,549,560,261,335,553,624,699,440
57801,"HES4",664,487,533,1287,499,849,327,345,1016,1105,2222,797
9636,"ISG15",64573,41410,34835,96274,63750,61734,14092,21845,7825,2591,10015,4663
375790,"AGRN",17668,13950,12848,23258,10120,17517,7768,12678,21279,19124,27486,12718
105369174,NA,109,76,90,99,47,85,61,67,297,289,355,222
105378948,NA,147,80,125,158,100,151,94,129,360,383,516,279
401934,"RNF223",990,619,714,1948,683,966,350,394,442,511,715,239
54991,"C1orf159",1257,936,1009,1627,931,1248,525,685,1862,2100,2592,1430
254099,"LINC01342",0,0,0,0,0,0,0,0,5,2,1,4
406984,"MIR200B",1,0,1,1,0,3,0,1,0,4,8,1
406983,"MIR200A",0,4,8,1,1,3,1,3,12,11,12,4
554210,"MIR429",8,12,12,9,4,12,7,4,12,4,37,6
254173,"TTLL10",14,13,15,17,9,17,6,12,30,27,35,28
8784,"TNFRSF18",54,90,59,95,87,124,12,44,295,384,515,218
7293,"TNFRSF4",5,2,1,3,2,3,2,2,2,9,11,6
51150,"SDF4",6556,5976,4907,8007,5018,6443,4013,5611,7944,10100,9190,6511
126792,"B3GALT6",1790,1800,1517,2026,1636,1917,1439,1621,1223,1506,1388,1018
388581,"C1QTNF12",30,44,36,74,51,73,27,29,72,90,91,50
118424,"UBE2J2",2551,2313,2044,3017,1995,2817,1825,2055,2031,2678,2701,1646
6339,"SCNN1D",196,160,173,274,180,263,96,140,543,493,699,422
116983,"ACAP3",3738,3445,3050,4865,2779,4055,2086,3145,5831,6732,7191,4615
102465434,"MIR6726",0,0,0,0,0,0,0,0,0,0,0,0
126789,"PUSL1",987,895,826,1313,933,1233,475,671,992,1229,1300,743
54973,"INTS11",4351,3720,3253,5384,3322,4102,2383,3370,4429,5299,5233,3824
102465435,"MIR6727",0,0,0,1,0,0,0,0,0,0,1,0
80772,"CPTP",1074,1009,799,1504,1077,1492,607,832,2868,3426,3972,2084
83756,"TAS1R3",140,97,90,138,71,114,51,110,193,214,251,120
1855,"DVL1",3637,3468,3089,5380,3268,4489,1580,2277,3622,4350,5387,2628
102466740,"MIR6808",0,0,0,0,0,0,0,0,0,0,0,0
54587,"MXRA8",210,173,187,219,111,163,152,167,914,1019,1183,790
54998,"AURKAIP1",5581,4374,4714,7591,6461,6498,2991,4054,3789,5065,5085,3395
81669,"CCNL2",7639,6799,7508,8880,4632,6422,5410,5865,11771,13909,14773,12124
148413,"MRPL20-AS1",1114,1018,843,1192,737,1002,743,1038,1073,1280,1099,937
55052,"MRPL20",4848,4230,3803,5961,3993,5050,3563,3656,2977,4231,3185,2499
441869,"ANKRD65",11,8,7,12,2,8,6,13,91,149,151,88
643965,"TMEM88B",0,0,2,0,0,0,0,0,0,0,0,0
102724312,NA,55,41,42,68,54,64,21,43,26,24,44,25
64856,"VWA1",1262,1143,940,1744,1106,1514,510,815,2695,3417,3448,2133
219293,"ATAD3C",166,124,149,199,125,164,116,130,416,476,555,417
83858,"ATAD3B",1881,1611,1513,2602,1552,2356,926,1370,2208,2387,2849,1781
55210,"ATAD3A",2559,2325,1868,3864,2635,3505,1115,1731,2184,2509,2870,1525
339453,"TMEM240",4,2,2,7,4,6,0,0,7,8,6,4
29101,"SSU72",8771,7142,7289,10012,7282,7821,6982,6937,6124,8472,6944,5989
643988,"FNDC10",5636,5245,4349,7451,6079,7552,2262,3511,2198,2440,2701,1705
142678,"MIB2",743,582,662,1287,474,992,296,512,1279,1394,1957,962
8510,"MMP23B",0,0,0,0,0,0,0,0,0,0,0,0
984,"CDK11B",2289,1884,1530,2759,1488,1994,1841,2059,1834,2331,2097,1731
728661,"SLC35E2B",3015,2845,2318,3172,1282,2139,2388,3003,3931,4811,3999,3591
8511,NA,0,0,0,0,0,0,0,0,1,2,0,0
728642,"CDK11A",1433,996,989,1639,783,1120,933,1105,1296,1553,1544,1171
9906,NA,898,688,744,915,586,649,742,806,1171,1359,1181,1166
65220,"NADK",4879,4428,3620,5601,3105,4135,3150,4094,3708,4430,4124,3263
2782,"GNB1",25545,22451,19636,27209,14495,20065,20435,23468,23056,31318,21434,21721
105378949,"GNB1-DT",14,10,7,26,16,21,17,18,9,14,12,18
163688,"CALML6",405,304,440,427,296,306,307,373,170,191,213,189
339456,"TMEM52",291,291,226,373,248,347,140,250,92,96,116,79
85452,"CFAP74",12,6,5,9,5,7,8,9,8,4,3,6
2563,"GABRD",81,62,34,112,67,71,30,27,262,327,277,187
5590,"PRKCZ",2030,1688,1404,2231,1090,1403,1390,1896,1940,2595,1971,1796
100506504,"PRKCZ-AS1",285,213,178,239,148,204,119,170,258,255,252,252
199990,"FAAP20",973,839,886,1261,843,1096,594,778,1500,1742,2013,1063
105378592,NA,17,17,19,23,9,20,16,24,25,18,31,19
6497,"SKI",3022,2792,2623,3241,1597,2564,2108,2682,4982,5289,5583,3974
105378594,NA,6,2,5,11,0,8,4,6,23,20,16,16
79906,"MORN1",515,376,384,620,283,405,310,411,422,394,464,359
100129534,"",115,93,99,157,77,101,75,130,151,143,186,130
11079,"RER1",7196,6347,5990,8122,5050,6479,5945,6123,10732,14185,12036,10611
5192,"PEX10",1987,2170,1754,2704,1408,2218,1403,1751,1448,1721,1871,1199
9651,"PLCH2",13,15,8,17,2,10,7,11,78,64,96,43
55229,"PANK4",8,38,39,69,40,8,6,7,5,11,127,34
388585,"HES5",0,0,0,0,0,0,0,0,0,0,0,0
115110,NA,0,0,0,0,0,0,0,0,1,0,0,1
8764,"TNFRSF14",0,0,0,0,0,0,1,2,3,2,1,3
100996583,NA,0,0,1,0,0,0,0,0,0,0,0,0
127281,"PRXL2B",11,9,6,10,9,8,6,8,20,18,17,14
79258,"MMEL1",2,0,3,0,2,0,0,0,1,2,3,0
100287898,"TTC34",0,0,0,0,0,0,0,0,2,0,2,0
140625,"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0
440556,"PRDM16-DT",66,35,51,67,34,51,27,47,4,2,5,5
63976,"PRDM16",499,436,299,562,297,407,278,352,230,257,254,187
100422968,"MIR4251",0,0,0,0,0,0,0,0,0,0,0,0
27237,"ARHGEF16",3867,3169,2724,5010,2633,3488,2016,3003,6061,7099,7017,4700
1953,"MEGF6",2237,1834,1922,2810,1274,2169,1211,1554,2025,2208,2861,1706
