"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"MIR6859-1",20,6,10,15,16,10,1,8
"MIR6859-2",0,0,0,0,0,0,1,0
"FAM87B",17,24,18,25,7,17,17,12
"LINC01128",834,794,728,999,473,646,775,868
"FAM41C",1,0,1,0,0,0,0,0
"LINC02593",1230,1015,1171,1360,1017,1246,747,1068
"SAMD11",1063,980,890,1616,961,1539,465,792
"NOC2L",12704,12169,9370,14207,9378,12725,8113,10774
"KLHL17",1072,834,838,1428,695,1198,504,705
"PLEKHN1",1183,1022,912,1602,845,1374,563,871
"PERM1",664,437,374,669,549,560,261,335
"HES4",664,487,533,1287,499,849,327,345
"ISG15",64573,41410,34835,96274,63750,61734,14092,21845
"AGRN",17668,13950,12848,23258,10120,17517,7768,12678
"RNF223",990,619,714,1948,683,966,350,394
"C1orf159",1257,936,1009,1627,931,1248,525,685
"MIR200B",1,0,1,1,0,3,0,1
"MIR200A",0,4,8,1,1,3,1,3
"MIR429",8,12,12,9,4,12,7,4
"TTLL10",14,13,15,17,9,17,6,12
"TNFRSF18",54,90,59,95,87,124,12,44
"TNFRSF4",5,2,1,3,2,3,2,2
"SDF4",6556,5976,4907,8007,5018,6443,4013,5611
"B3GALT6",1790,1800,1517,2026,1636,1917,1439,1621
"C1QTNF12",30,44,36,74,51,73,27,29
"UBE2J2",2551,2313,2044,3017,1995,2817,1825,2055
"SCNN1D",196,160,173,274,180,263,96,140
"ACAP3",3738,3445,3050,4865,2779,4055,2086,3145
"PUSL1",987,895,826,1313,933,1233,475,671
"INTS11",4351,3720,3253,5384,3322,4102,2383,3370
"MIR6727",0,0,0,1,0,0,0,0
"CPTP",1074,1009,799,1504,1077,1492,607,832
"TAS1R3",140,97,90,138,71,114,51,110
"DVL1",3637,3468,3089,5380,3268,4489,1580,2277
"MXRA8",210,173,187,219,111,163,152,167
"AURKAIP1",5581,4374,4714,7591,6461,6498,2991,4054
"CCNL2",7639,6799,7508,8880,4632,6422,5410,5865
"MRPL20-AS1",1114,1018,843,1192,737,1002,743,1038
"MRPL20",4848,4230,3803,5961,3993,5050,3563,3656
"ANKRD65",11,8,7,12,2,8,6,13
"TMEM88B",0,0,2,0,0,0,0,0
"VWA1",1262,1143,940,1744,1106,1514,510,815
"ATAD3C",166,124,149,199,125,164,116,130
"ATAD3B",1881,1611,1513,2602,1552,2356,926,1370
"ATAD3A",2559,2325,1868,3864,2635,3505,1115,1731
"TMEM240",4,2,2,7,4,6,0,0
"SSU72",8771,7142,7289,10012,7282,7821,6982,6937
"FNDC10",5636,5245,4349,7451,6079,7552,2262,3511
"MIB2",743,582,662,1287,474,992,296,512
"CDK11B",2289,1884,1530,2759,1488,1994,1841,2059
"SLC35E2B",3015,2845,2318,3172,1282,2139,2388,3003
"CDK11A",1433,996,989,1639,783,1120,933,1105
"NADK",4879,4428,3620,5601,3105,4135,3150,4094
"GNB1",25545,22451,19636,27209,14495,20065,20435,23468
"GNB1-DT",14,10,7,26,16,21,17,18
"CALML6",405,304,440,427,296,306,307,373
"TMEM52",291,291,226,373,248,347,140,250
"CFAP74",12,6,5,9,5,7,8,9
"GABRD",81,62,34,112,67,71,30,27
"PRKCZ",2030,1688,1404,2231,1090,1403,1390,1896
"PRKCZ-AS1",285,213,178,239,148,204,119,170
"FAAP20",973,839,886,1261,843,1096,594,778
"SKI",3022,2792,2623,3241,1597,2564,2108,2682
"MORN1",515,376,384,620,283,405,310,411
"RER1",7196,6347,5990,8122,5050,6479,5945,6123
"PEX10",1987,2170,1754,2704,1408,2218,1403,1751
"PLCH2",13,15,8,17,2,10,7,11
"PANK4",8,38,39,69,40,8,6,7
"TNFRSF14",0,0,0,0,0,0,1,2
"PRXL2B",11,9,6,10,9,8,6,8
"MMEL1",2,0,3,0,2,0,0,0
"PRDM16-DT",66,35,51,67,34,51,27,47
