"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"MIR6859-1",24,30,31,38
"MIR6859-2",1,1,0,0
"FAM87B",8,12,6,15
"LINC01128",952,1073,886,838
"FAM41C",0,3,3,2
"LINC02593",787,928,1061,668
"SAMD11",2288,2497,2918,1533
"NOC2L",15123,18913,15055,12707
"KLHL17",2055,2236,2888,1479
"PLEKHN1",1587,1791,1960,1209
"PERM1",553,624,699,440
"HES4",1016,1105,2222,797
"ISG15",7825,2591,10015,4663
"AGRN",21279,19124,27486,12718
"RNF223",442,511,715,239
"C1orf159",1862,2100,2592,1430
"LINC01342",5,2,1,4
"MIR200B",0,4,8,1
"MIR200A",12,11,12,4
"MIR429",12,4,37,6
"TTLL10",30,27,35,28
"TNFRSF18",295,384,515,218
"TNFRSF4",2,9,11,6
"SDF4",7944,10100,9190,6511
"B3GALT6",1223,1506,1388,1018
"C1QTNF12",72,90,91,50
"UBE2J2",2031,2678,2701,1646
"SCNN1D",543,493,699,422
"ACAP3",5831,6732,7191,4615
"PUSL1",992,1229,1300,743
"INTS11",4429,5299,5233,3824
"MIR6727",0,0,1,0
"CPTP",2868,3426,3972,2084
"TAS1R3",193,214,251,120
"DVL1",3622,4350,5387,2628
"MXRA8",914,1019,1183,790
"AURKAIP1",3789,5065,5085,3395
"CCNL2",11771,13909,14773,12124
"MRPL20-AS1",1073,1280,1099,937
"MRPL20",2977,4231,3185,2499
"ANKRD65",91,149,151,88
"VWA1",2695,3417,3448,2133
"ATAD3C",416,476,555,417
"ATAD3B",2208,2387,2849,1781
"ATAD3A",2184,2509,2870,1525
"TMEM240",7,8,6,4
"SSU72",6124,8472,6944,5989
"FNDC10",2198,2440,2701,1705
"MIB2",1279,1394,1957,962
"CDK11B",1834,2331,2097,1731
"SLC35E2B",3931,4811,3999,3591
"CDK11A",1296,1553,1544,1171
"NADK",3708,4430,4124,3263
"GNB1",23056,31318,21434,21721
"GNB1-DT",9,14,12,18
"CALML6",170,191,213,189
"TMEM52",92,96,116,79
"CFAP74",8,4,3,6
"GABRD",262,327,277,187
"PRKCZ",1940,2595,1971,1796
"PRKCZ-AS1",258,255,252,252
"FAAP20",1500,1742,2013,1063
"SKI",4982,5289,5583,3974
"MORN1",422,394,464,359
"RER1",10732,14185,12036,10611
"PEX10",1448,1721,1871,1199
"PLCH2",78,64,96,43
"PANK4",5,11,127,34
"TNFRSF14",3,2,1,3
"PRXL2B",20,18,17,14
"MMEL1",1,2,3,0
"TTC34",2,0,2,0
"PRDM16-DT",4,2,5,5
"PRDM16",230,257,254,187
"ARHGEF16",6061,7099,7017,4700
"MEGF6",2025,2208,2861,1706
"TPRG1L",3302,4480,3040,2885
"WRAP73",1721,2172,1878,1435
"TP73",913,961,1144,718
"TP73-AS1",1610,1842,1567,1461
"CCDC27",11,4,14,13
"SMIM1",128,187,220,116
"LRRC47",3760,4690,3715,3195
"CEP104",2351,2982,2366,2145
"DFFB",476,528,467,470
"C1orf174",934,1147,1043,952
"LINC01134",8,6,6,7
"AJAP1",0,1,0,2
"MIR4689",6,1,0,3
"NPHP4",2012,2204,2157,1633
"KCNAB2",1635,1978,1877,1468
"CHD5",424,562,468,451
"RPL22",13704,19858,14499,14628
"RNF207-AS1",77,91,94,70
"RNF207",1721,1956,2125,1728
"ICMT",10848,13326,10641,9409
"GPR153",1909,2051,2139,1570
"ACOT7",4755,6718,5365,4333
"HES2",98,137,107,101
"ESPN",6254,7640,7835,4812
"MIR4252",1,5,2,1
"TNFRSF25",262,312,360,263
"PLEKHG5",797,918,1021,701
"NOL9",2144,2895,2221,2226
"TAS1R1",6,4,6,4
"ZBTB48",1829,2309,2122,1942
"KLHL21",3217,3805,3054,2533
"PHF13",3749,4092,3760,3356
"THAP3",555,745,700,619
"DNAJC11",5307,7077,4908,4849
"CAMTA1",2247,2866,2606,2098
"VAMP3",3661,4953,3484,3441
"PER3",2734,2142,2776,1763
"TNFRSF9",0,1,4,0
"PARK7",15068,22771,18415,16978
"ERRFI1",3787,4867,3486,3603
"SLC45A1",16,14,14,11
"RERE",4958,5653,4968,4141
"ENO1",80650,109130,80598,77729
"MIR6728",6,0,5,2
"ENO1-AS1",9,9,9,10
"CA6",5,5,12,9
"SLC2A7",0,2,1,1
"SLC2A5",28,33,45,33
"GPR157",1237,1429,1000,884
"MIR34A",2,1,7,6
"H6PD",2837,3367,2726,2658
"SPSB1",1852,2307,1915,1664
"LINC02606",19,19,20,15
"SLC25A33",543,817,624,615
"TMEM201",1828,1853,2036,1276
"PIK3CD",321,490,303,350
"PIK3CD-AS2",10,6,8,5
"CLSTN1",15266,18526,13667,12587
"CTNNBIP1",2421,3413,2407,2391
"LZIC",895,1111,787,748
"NMNAT1",582,941,652,575
"MIR5697",1,0,0,0
"RBP7",8,9,11,8
"UBE4B",3054,4037,2684,2575
"KIF1B",4464,5652,3756,4100
"PGD",17150,26101,17369,16554
"CENPS",125,147,155,128
"CORT",13,14,18,14
"DFFA",1070,1363,1032,970
"PEX14",1251,1553,1430,1077
"CASZ1",5135,6149,5861,4192
"C1orf127",22,25,22,24
"TARDBP",7938,10013,7432,7953
"MASP2",143,127,153,122
"SRM",4430,6161,5084,4439
"EXOSC10",4725,6091,5032,4734
"MTOR",8173,10337,7279,7493
"MTOR-AS1",4,3,4,3
"ANGPTL7",4,1,2,4
"UBIAD1",1636,1940,1508,1344
"DISP3",117,142,126,108
"LINC01647",16,15,14,16
"FBXO2",818,1020,992,741
"FBXO44",3433,4164,3582,3316
"FBXO6",1391,1706,1446,1263
"MAD2L2",1561,2274,1817,1577
"DRAXIN",3,8,4,6
"AGTRAP",3340,4351,3665,2980
"C1orf167",1,5,4,1
"C1orf167-AS1",0,0,1,0
"MTHFR",3084,3776,2731,2746
"CLCN6",1275,1496,1229,1271
"NPPA",16,28,20,23
"KIAA2013",4809,5964,5244,4146
"PLOD1",10577,14249,9857,9595
"MFN2",12946,16051,11598,11051
"MIIP",1482,1792,1778,1194
"TNFRSF8",0,2,7,6
"TNFRSF1B",8,16,12,11
"VPS13D",7069,8385,6463,6338
"SNORA59A",17,27,14,16
"DHRS3",1998,2474,2005,1565
"MIR6730",1,2,0,0
"AADACL4",26,23,28,18
"AADACL3",27,26,19,19
"CFAP107",5,3,1,6
"PRAMEF12",3,6,5,8
"PRAMEF1",0,1,1,0
"PRAMEF11",0,1,0,1
"HNRNPCL1",10,5,6,6
"PRAMEF2",1,2,0,3
"PRAMEF7",0,0,1,0
"HNRNPCL2",0,1,0,0
"PRAMEF14",0,1,0,0
"PRAMEF19",0,0,1,0
"PRAMEF17",0,2,0,0
"PRAMEF20",0,2,2,0
"LRRC38",8,4,2,4
"PDPN",14,22,18,17
"PRDM2",3714,4323,3262,3364
"KAZN",886,1136,982,810
"TMEM51-AS1",96,110,93,76
"TMEM51",1053,1363,1177,962
"TMEM51-AS2",6,5,3,13
"FHAD1",37,46,38,41
"FHAD1-AS1",0,3,0,2
"EFHD2",3660,4417,4562,2832
"CTRC",17,20,29,10
"CELA2A",0,0,4,0
"CELA2B",4,14,3,8
"CASP9",682,943,644,649
"DNAJC16",2904,3521,2458,2632
"AGMAT",398,586,393,365
"DDI2",482,507,398,398
"RSC1A1",324,428,309,303
"PLEKHM2",2838,3568,2941,2216
"SLC25A34",89,80,73,80
"FBLIM1",48,78,65,56
"UQCRHL",575,898,669,620
"SPEN-AS1",62,63,76,41
"SPEN",6253,6902,5570,5629
"ZBTB17",1189,1433,1420,908
"SRARP",1238,2716,1420,1823
"HSPB7",27,38,42,26
"CLCNKA",87,148,85,110
"CLCNKB",8,10,5,8
"FAM131C",80,83,62,65
"EPHA2",739,1009,691,631
"ARHGEF19",914,1147,1010,797
"CPLANE2",217,248,170,139
"FBXO42",1898,2402,1874,1874
"SZRD1",8316,10247,8341,7391
"SPATA21",2,2,3,1
"NECAP2",1469,1931,1366,1306
"NBPF1",348,341,319,303
"RNU1-4",1,0,0,0
"CROCC",611,671,975,429
"RNU1-2",0,0,0,2
"MFAP2",85,83,101,96
"ATP13A2",4752,5622,4899,3405
"SDHB",3600,5233,3980,3604
"PADI2",4312,6715,4141,4392
"PADI1",28,34,24,17
"PADI3",96,116,128,79
"MIR3972",0,0,1,0
"PADI4",0,5,1,0
"PADI6",1,3,1,5
"RCC2",25159,31722,24692,24272
"ARHGEF10L",3664,4161,4195,2926
"ACTL8",631,805,637,613
"LINC01654",0,0,1,0
"IGSF21",89,182,100,128
"KLHDC7A",143,174,162,85
"PAX7",1302,1487,1392,1414
"TAS1R2",0,1,2,4
"ALDH4A1",8527,10624,7681,6810
"MIR1290",2,0,2,2
"IFFO2",1557,2046,1391,1350
"UBR4",13818,17128,12092,12228
"EMC1",4762,6165,3896,4242
"MRTO4",2707,3924,2933,2770
"AKR7L",221,261,251,237
"AKR7A3",1076,1342,1076,796
"AKR7A2",2301,2921,2348,1904
"SLC66A1",1098,1429,1322,907
"CAPZB",10947,15104,11864,11203
"MICOS10",2074,2841,2398,2289
"NBL1",12,7,2,6
"HTR6",112,120,98,99
"TMCO4",2791,3643,3052,2573
"OTUD3",993,1182,1001,1034
"PLA2G2A",12,20,26,5
"PLA2G5",0,1,0,0
"PLA2G2F",21,30,22,26
"PLA2G2C",0,0,1,0
"UBXN10",36,43,24,28
"CAMK2N1",1657,1929,1787,1464
"MUL1",1908,2404,1513,1575
"CDA",3,2,2,4
"PINK1",664,965,658,539
"PINK1-AS",257,329,276,264
"DDOST",15262,20884,14485,13878
"KIF17",7,8,9,6
"SH2D5",8,9,20,1
"HP1BP3",9390,11637,9596,9418
"EIF4G3",4144,5314,3871,3933
"MIR1256",2,0,0,0
"ECE1",6777,7628,6876,5343
"ECE1-AS1",7,6,15,2
"NBPF3",482,619,497,465
"ALPL",6,7,14,2
"RAP1GAP",2581,3223,2568,2396
"USP48",4918,6258,5022,5034
"LDLRAD2",34,27,30,34
"HSPG2",2655,2644,2671,1821
"CELA3B",1,0,0,0
"CELA3A",1,0,1,4
"LINC01635",12,14,9,18
"LINC00339",504,752,649,633
"CDC42",10018,13799,9679,9925
"WNT4",235,274,248,210
"MIR4418",0,0,0,1
"ZBTB40",2875,3177,2710,2440
"EPHA8",14,9,10,13
"EPHB2",361,455,389,304
"TEX46",2,0,0,3
"KDM1A",4692,6209,4768,4561
"MIR3115",0,0,0,1
"LUZP1",2822,3404,2500,2525
"HTR1D",1217,1444,1134,1033
"HNRNPR",6595,8529,6504,6371
"ZNF436",1349,1688,1201,1349
"TCEA3",5717,7667,6495,5899
"ASAP3",3347,5894,3787,4787
"E2F2",2292,2736,2342,2142
"ID3",8547,11523,9898,7271
"RPL11",27149,41341,30918,30339
"ELOA",3485,4943,3197,3520
"ELOA-AS1",17,32,15,19
"PITHD1",1343,1899,1307,1376
"LYPLA2",5316,7102,5691,4813
"GALE",5467,7698,6065,5430
"HMGCL",1760,2257,1866,1601
"FUCA1",1658,2198,1794,1542
"CNR2",0,3,2,0
"PNRC2",2316,2721,2543,2465
"SRSF10",5425,6366,5420,5586
"MYOM3",3,2,0,3
"IL22RA1",23,19,17,17
"IFNLR1",175,253,204,198
"LINC02800",4,1,3,3
"GRHL3",1055,1210,963,926
"STPG1",424,573,445,439
"NIPAL3",4742,6961,4492,4346
"RCAN3AS",11,8,16,10
"RCAN3",1137,1404,1002,939
"NCMAP",37,32,49,23
"SRRM1",7146,8784,6776,6790
"CLIC4",1716,2389,1547,1735
"RUNX3",288,337,278,258
"SYF2",1444,1860,1518,1350
"RSRP1",1736,1601,2158,1982
"RHD",0,0,2,1
"TMEM50A",1287,1527,1609,1147
"RHCE",78,93,72,83
"MACO1",2009,2837,2027,2006
"LDLRAP1",4325,5660,4690,4115
"MAN1C1",448,635,405,375
"SELENON",7854,9961,7436,6979
"MTFR1L",2217,2961,2407,2336
"AUNIP",813,1025,870,801
"PAQR7",1304,1952,1252,1424
"STMN1",21527,30427,24725,23208
"PAFAH2",2785,4190,2643,2741
"EXTL1",150,145,184,90
"SLC30A2",104,129,94,107
"TRIM63",5,6,4,3
"PDIK1L",1593,1950,1396,1571
"FAM110D",5,4,3,7
"ZNF593",1458,1979,2179,1302
"CNKSR1",4415,5156,4211,4025
"CATSPER4",1,9,4,4
"ZPLD2P",0,0,2,0
"CEP85",3742,4918,3698,3567
"SH3BGRL3",9298,12417,10270,9208
"UBXN11",1136,1433,1355,1119
"CD52",3,0,1,2
"CRYBG2",524,657,490,561
"ZNF683",10,12,12,22
"LIN28A",2,1,3,1
"DHDDS",2061,2881,1839,2148
"HMGN2",5740,7274,7939,5440
"RPS6KA1",4919,6622,5022,4646
"ARID1A",7319,8317,6311,6160
"PIGV",1273,1578,1165,1230
"ZDHHC18",1794,2297,1911,1681
"SFN",2769,3802,3203,2632
"GPN2",777,1013,795,725
"GPATCH3",1066,1414,1039,1017
"NUDC",5954,8148,7185,5641
"NR0B2",17,21,7,20
"KDF1",1229,1679,1361,1134
"TRNP1",136,219,142,190
"TENT5B",882,1204,986,856
"SLC9A1",6199,7744,5404,5470
"WDTC1",7038,8841,6598,6465
"TMEM222",3080,3877,3304,2780
"SYTL1",2884,3394,4019,2137
"MAP3K6",3200,3933,3401,2692
"FCN3",5,14,12,3
"CD164L2",0,1,0,2
"GPR3",25,61,41,31
